Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Cammon Cooper,Hawai'i,2022,2023,5,4,1,0.2,0.2,NA
Johnny Stanton,UNLV,2014,2018,2,3,1,0.2,0.2,NA
Johnny Stanton,UNLV,2014,2018,2,4,1,0.2,0.2,NA
Devin Brown,Ohio State,2022,2025,1,1,1,0.1,0.1,NA
Zach Calzada,Incarnate Word,2023,2024,5,5,8,0,NA,NA
Brian Maurer,Stephen F. Austin,2023,2024,5,5,8,0,NA,NA
Hunter Dekkers,Iowa State,2023,2024,4,4,NA,0,NA,NA
Tyler Macon,Alcorn State,2023,2024,3,3,4,0,NA,NA
Nick Evers,Wisconsin,2023,2025,2,2,NA,0,NA,NA
Eli Holstein,Alabama,2023,2026,1,1,NA,0,NA,NA
Malachi Nelson,USC,2023,2026,1,1,1,0,0,NA
Malachi Singleton,Arkansas,2023,2026,1,1,NA,0,NA,NA
Christopher Vizzina,Clemson,2023,2026,1,1,NA,0,NA,NA
Jaxon Smolik,Penn State,2023,2026,1,1,NA,0,NA,NA
Dylan McCaffrey,Northern Colorado,2022,2023,6,6,10,0,NA,NA
Jarren Williams,Alabama A&M,2022,2023,5,3,NA,0,NA,NA
Zach Calzada,Incarnate Word,2022,2024,4,4,NA,0,NA,NA
Brian Maurer,Stephen F. Austin,2022,2024,4,4,1,0,NA,NA
Paul Tyson,Clemson,2022,2024,4,4,NA,0,NA,NA
Ty Evans,Texas State,2022,2023,4,4,NA,0,NA,NA
Jayden Maiava,UNLV,2022,2025,1,1,NA,0,NA,NA
Maalik Murphy,Texas,2022,2025,1,1,NA,0,NA,NA
Nick Evers,Wisconsin,2022,2025,1,1,1,0,0,NA
Luther Richesson,Cincinnati,2022,2025,1,1,NA,0,NA,NA
Myles Brennan,LSU,2021,2022,5,5,NA,0,NA,NA
Dylan McCaffrey,Northern Colorado,2021,2023,5,5,3,0,NA,NA
Grant Gunnell,Sam Houston State,2021,2024,3,3,NA,0,NA,NA
Brian Maurer,Stephen F. Austin,2021,2024,3,3,NA,0,NA,NA
Brock Vandagriff,Georgia,2021,2024,1,1,1,0,0,NA
Kyron Drones,Virginia Tech,2021,2024,1,1,NA,0,NA,NA
Hunter Johnson,Clemson,2020,2023,4,3,1,0,0,NA
Tate Martell,UNLV,2020,2022,4,4,NA,0,NA,NA
Dylan McCaffrey,Northern Colorado,2020,2023,4,4,NA,0,NA,NA
Zach Calzada,Incarnate Word,2020,2024,2,2,NA,0,NA,NA
Ethan Garbers,UCLA,2020,2024,1,1,NA,0,NA,NA
Carson Beck,Georgia,2020,2024,1,1,NA,0,NA,NA
Paul Tyson,Clemson,2020,2024,2,2,NA,0,NA,NA
Ty Evans,Texas State,2020,2023,2,2,NA,0,NA,NA
Deondre Francois,Hampton,2019,2020,5,5,1,0,NA,NA
Cammon Cooper,Hawai'i,2019,2023,2,1,NA,0,NA,NA
Gerry Bohanon,Baylor,2019,2021,2,2,NA,0,NA,NA
Cade McNamara,Iowa,2019,2024,1,1,NA,0,NA,NA
Paul Tyson,Clemson,2019,2024,1,1,NA,0,NA,NA
Ty Evans,Texas State,2019,2023,1,1,NA,0,NA,NA
Dylan Morris,Washington,2019,2024,1,1,NA,0,NA,NA
Malik Henry,Nevada,2018,2020,3,3,NA,0,NA,NA
Brady White,Memphis,2017,2021,3,3,NA,0,NA,NA
Malik Henry,Nevada,2017,2020,2,2,NA,0,NA,NA
Brandon McIlwain,California,2017,2019,2,2,NA,0,NA,NA
Anthony Russo,Michigan State,2017,2022,2,1,NA,0,NA,NA
Tate Martell,UNLV,2017,2022,1,1,NA,0,NA,NA
Jack Sears,Boise State,2017,2022,1,1,NA,0,NA,NA
Dylan McCaffrey,Northern Colorado,2017,2023,1,1,NA,0,NA,NA
Brandon Wimbush,UCF,2016,2020,2,2,NA,0,NA,NA
Feleipe Franks,Arkansas,2016,2021,1,1,1,0,0,NA
Malik Henry,Nevada,2016,2020,1,1,NA,0,NA,NA
Brandon Peters,Illinois,2016,2022,1,1,NA,0,NA,NA
Kyle Allen,Houston,2016,2018,3,3,NA,0,NA,NA
Brady White,Memphis,2015,2021,1,1,NA,0,NA,NA
Ben Hicks,Arkansas,2015,2020,1,1,NA,0,NA,NA
Deondre Francois,Hampton,2015,2020,1,1,NA,0,NA,NA
Luke Del Rio,Florida,2015,2018,2,2,NA,0,NA,NA
David Blough,Purdue,2014,2019,1,1,NA,0,NA,NA
Drew Barker,Kentucky,2014,2018,1,1,NA,0,NA,NA
Everett Golson,Florida State,2013,2016,3,3,NA,0,NA,NA
Johnny Stanton,UNLV,2013,2018,1,1,NA,0,NA,NA
Johnny Stanton,UNLV,2013,2018,1,2,NA,0,NA,NA
Max Browne,Pittsburgh,2013,2018,1,1,NA,0,NA,NA
Zack Greenlee,UTEP,2013,2018,1,1,NA,0,NA,NA
Malik Zaire,Florida,2013,2018,1,1,NA,0,NA,NA
Kendal Thompson,Utah,2012,2016,2,2,NA,0,NA,NA
Evan Crower,Stanford,2012,2015,2,2,NA,0,NA,NA
Austin Appleby,Florida,2012,2017,1,1,NA,0,NA,NA
Bart Houston,Wisconsin,2012,2017,1,1,NA,0,NA,NA
Zach Kline,Fresno State,2012,2017,1,1,NA,0,NA,NA
J.W. Walsh,Oklahoma State,2011,2016,1,1,NA,0,NA,NA
Kendal Thompson,Utah,2011,2016,1,1,NA,0,NA,NA
Everett Golson,Florida State,2011,2016,1,1,NA,0,NA,NA
Evan Crower,Stanford,2011,2015,1,1,NA,0,NA,NA
Justin Rogers,UNLV,2018,2022,1,1,1,-0.4,-0.4,NA
Tyler Van Dyke,Miami,2020,2024,1,1,1,-0.7,-0.7,NA
Drew Barker,Kentucky,2017,2018,4,4,4,-1.5,-0.4,NA
Ty Thompson,Oregon,2022,2024,2,2,6,-1.7,-0.3,NA
Brandon Peters,Illinois,2018,2022,3,3,2,-1.7,-0.8,NA
Chris Parson,Mississippi State,2023,2026,1,1,2,-2.8,-1.4,NA
Tyler Macon,Alcorn State,2022,2024,2,2,1,-3.1,-3.1,NA
Jerrod Heard,Texas,2015,2018,1,1,12,,,
D'Wan Mathis ,,2021,2024,2,1,7,79.22,11.31714286,NA
Luke Rubenzer,,2014,2017,1,1,10,48.24,4.824,NA
Kiehl Frazier,,2012,2013,2,1,9,72.82,8.091111111,NA
Jeff Lindquist,,2014,2016,2,1,7,26.78,3.825714286,NA
Shane Cockerille,,2015,2017,2,2,6,9.18,1.53,NA
Elijah Brown,,,,,,,,,
Adam Pittser,,,,,,0,0,0,NA
Shane Dillon,,,,,,0,0,0,NA
Zeke Pike,,,,,,0,0,0,NA
Travis Jonsen,,,,,,0,0,0,NA
Ricky Town,,2018,2018,4,4,1,0.6,0.6,NA
