Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Drake Maye,North Carolina,2023,2024,3,3,12,317.2,26.4,NA
Everett Golson,Florida State,2014,2016,4,4,13,302.1,23.2,NA
Shane Buechele,SMU,2019,2021,4,4,13,295.7,22.7,NA
Brandon Wimbush,UCF,2017,2020,3,3,12,285.2,23.8,NA
Brady White,Memphis,2019,2021,5,5,14,283,20.2,NA
Carson Beck,Georgia,2023,2024,4,4,14,273.2,19.5,NA
Devin Leary,Kentucky,2021,2024,4,3,12,270,22.5,NA
Ben Hicks,Arkansas,2017,2020,3,3,13,259.5,20,NA
David Blough,Purdue,2018,2019,5,5,13,257,19.8,NA
Feleipe Franks,Arkansas,2018,2021,3,3,13,256.5,19.7,NA
Brady White,Memphis,2020,2021,6,6,11,255.3,23.2,NA
Chris Robison,Florida Atlantic,2019,2020,3,2,14,254,18.1,NA
Taulia Tagovailoa,Maryland,2021,2024,3,3,13,252.1,19.4,NA
Quinn Ewers,Texas,2023,2024,3,2,12,252,21,NA
Kyron Drones,Virginia Tech,2023,2024,3,3,13,248.2,19.1,NA
J.J. McCarthy,Michigan,2022,2024,2,2,14,247.4,17.7,NA
Drew Allar,Penn State,2023,2025,2,2,13,245.6,18.9,NA
TJ Finley,Texas State,2023,2024,4,4,13,243.7,18.7,NA
Taulia Tagovailoa,Maryland,2023,2024,5,5,12,242,20.2,NA
Deondre Francois,Hampton,2016,2020,2,2,13,241.8,18.6,NA
J.J. McCarthy,Michigan,2023,2024,3,3,15,237.8,15.9,NA
Jayden Daniels,LSU,2019,2024,1,1,12,231.2,19.3,NA
Shane Buechele,SMU,2020,2021,5,5,10,227.4,22.7,NA
Jayden Daniels,LSU,2021,2024,3,3,13,222.2,17.1,NA
Bo Nix,Oregon,2019,2024,1,1,13,221,17,NA
Brady White,Memphis,2018,2021,4,4,14,217.4,15.5,NA
David Blough,Purdue,2016,2019,3,3,12,215.1,17.9,NA
Tyler Van Dyke,Miami,2021,2024,2,2,10,214.9,21.5,NA
Bo Nix,Oregon,2020,2024,2,2,11,211.4,19.2,NA
Jayden Maiava,UNLV,2023,2025,2,2,14,211.1,15.1,NA
Shane Buechele,SMU,2016,2021,1,1,12,205.4,17.1,NA
Taulia Tagovailoa,Maryland,2022,2024,4,4,12,204.7,17.1,NA
Graham Mertz,Florida,2023,2024,5,5,11,200.8,18.3,NA
Kyle McCord,Ohio State,2023,2024,3,3,12,198.3,16.5,NA
Everett Golson,Florida State,2012,2016,2,2,12,198,16.5,NA
J.W. Walsh,Oklahoma State,2015,2016,5,5,13,195.4,15,NA
Tommy DeVito,Illinois,2022,2023,6,5,13,192.3,14.8,NA
Hunter Dekkers,Iowa State,2022,2024,3,3,12,185.1,15.4,NA
Hudson Card,Purdue,2023,2024,4,4,11,183.8,16.7,NA
Devin Leary,Kentucky,2023,2024,6,5,13,182.4,14,NA
Tommy DeVito,Illinois,2019,2023,3,2,12,182,15.2,NA
J.W. Walsh,Oklahoma State,2012,2016,2,2,10,179.3,17.9,NA
Jeff Sims,Nebraska,2020,2024,1,1,10,176.7,17.7,NA
Anthony Russo,Michigan State,2019,2022,4,3,13,176,13.5,NA
Drew Pyne,Arizona State,2022,2024,3,3,11,173.6,15.8,NA
Kyle Allen,Houston,2015,2018,2,2,10,168.4,16.8,NA
Bo Nix,Oregon,2021,2024,3,3,10,166.6,16.7,NA
Tyler Van Dyke,Miami,2023,2024,4,4,11,165.2,15,NA
Brandon Peters,Illinois,2019,2022,4,4,11,164.7,15,NA
Ben Hicks,Arkansas,2016,2020,2,2,12,162.1,13.5,NA
Feleipe Franks,Arkansas,2020,2021,5,5,9,162,18,NA
Deondre Francois,Hampton,2018,2020,4,4,11,160.8,14.6,NA
Chris Robison,Florida Atlantic,2018,2020,2,1,12,160.4,13.4,NA
Ben Hicks,Arkansas,2018,2020,4,4,12,158.6,13.2,NA
Cade McNamara,Iowa,2021,2024,3,3,14,157.6,11.3,NA
Anthony Russo,Michigan State,2018,2022,3,2,11,152.8,13.9,NA
Jeff Sims,Nebraska,2021,2024,2,2,7,149.9,21.4,NA
Graham Mertz,Florida,2022,2024,4,4,12,147.4,12.3,NA
Dylan Morris,Washington,2021,2024,3,3,11,143.8,13.1,NA
Zach Calzada,Incarnate Word,2021,2024,3,3,12,140.5,11.7,NA
Chandler Morris,TCU,2023,2024,4,4,7,140,20,NA
Tyler Shough,Texas Tech,2020,2024,3,2,7,136.7,19.5,NA
Jarren Williams,Alabama A&M,2019,2023,2,2,12,136.7,11.4,NA
