Name,School,Draft,NFL Team,Awards,Year
Malik Henry,Florida StateIndependence CCNevada,Undrafted,None,None,2015
Brandon McIlwain,South CarolinaCalifornia,Undrafted,None,None,2015
Shea Patterson,Ole MissMichigan,Undrafted,Kansas City Chiefs,Elite 11 MVPThird-team All-Big Ten(2018),2015
Brandon Peters,MichiganIllinois,Undrafted,None,Indiana's Mr. Football(2015),2015
Anthony Russo,TempleMichigan State,Undrafted,None,None,2015
Myles Brennan,LSU,Undrafted,None,2019 SEC Champion2020 National Champion,2016
Sean Clifford,Penn State,2023 Rd. 5,Green Bay Packers,None,2016
Tommy DeVito,SyracuseIllinois,Undrafted,New York Giants,None,2016
Sam Ehlinger,Texas,2021 Rd. 6,Indianapolis Colts,2019 Sugar Bowl MVP2019 Alamo Bowl MVPSecond-team All-Big 12 Conference(2020),2016
Jake Fromm,Georgia,2020 Rd. 5,Buffalo BillsNew York GiantsWashington Commanders,SEC Champion(2017)SEC Freshman Player of the Year(2017)2018 Rose Bowl winner,2016
Hunter Johnson,ClemsonNorthwesternClemson,Undrafted,None,2017 US Army All-American Bowl MVP2016 Indiana Mr. Football Award,2016
Tate Martell,Ohio StateMiamiUNLV,Undrafted,None,"2× USA Today All-American (2014, 2016)Gatorade Football Player of the Year(2016)USA TodayOffensive Player of the Year (2016)2019 Rose Bowl ChampionCotton Bowl Classic Champion(2017)2×Big Ten Champion(2017), (2018)",2016
Dylan McCaffrey,MichiganNorthern Colorado,Undrafted,None,None,2016
Davis Mills,Stanford,2021 Rd. 3,Houston Texans,None,2016
Chris Robison,OklahomaFlorida Atlantic,Undrafted,None,First team All-Conference USA(2019),2016
Jack Sears,USCBoise State,Undrafted,None,None,2016
Tua Tagovailoa,Alabama,2020 Rd. 1,Miami Dolphins,Elite 11 MVPHeisman trophyrunner-up (2018)CFP National Champion(2017)2018 CFP National Championship Offensive MVPMaxwell Award(2018)Walter Camp Award(2018)SEC Offensive Player of the Year(2018)First-Team All-SEC(2018)ConsensusAll-American(2018)2018 Orange BowlOffensive MVPSecond Team All-SEC(2019),2016
Gerry Bohanon,BaylorSouth Florida,In School,None,Davey O’Brien Award’s Quarterback Class of 2021,2017
Cammon Cooper,Washington StateHawaiiSoutheastern Louisiana,In School,None,None,2017
Matt Corral,Ole Miss,2022 Rd. 3,Carolina Panthers,2021 Outback Bowl(MVP),2017
Justin Fields,GeorgiaOhio State,2021 Rd. 1,Chicago Bears,"Elite 11 MVPSEC East Champion (2018)Heisman Trophy– Third Place  (2019)Big Ten Offensive Player of the Year(2019)Big Ten Quarterback of the Year(2019)First Team All Big Ten (2019,2020)Big Ten Champion (2019)Big Ten Championship MVP (2019)",2017
Trevor Lawrence,Clemson,2021 Rd. 1,Jacksonville Jaguars,"Hall Trophy(2017)USA Today Offensive Player of the Year(2017)ACC Rookie of the Year(2018)ACC Offensive Rookie of the Year(2018)2019 CFP National Champion(2019)Second team All-ACC (2018)2×ACC Champion(2018,2019)First team All-ACC (2019,2020)Number One Overall Selection",2017
Devin Leary,NC StateKentucky,In School,None,None,2017
Tanner McKee,Stanford,2023 Rd. 6,Philadelphia Eagles,None,2017
Quincy Patterson II,Virginia TechNorth Dakota StateTemple,In School,None,None,2017
Justin Rogers,TCUUNLV,Undrafted,None,None,2017
Tyler Shough,OregonTexas Tech,In School,None,2020 Rose Bowl Champion,2017
Dorian Thompson-Robinson,UCLA,2023 Rd. 5,Cleveland Browns,"2x Second-team All-Pac-12 (2020, 2021)",2017
Jack Tuttle,UtahIndianaMichigan,In School,None,None,2017
Jarren Williams,Miami (FL)South FloridaAlabama A&M,Undrafted,None,None,2017
Zach Calzada,Texas A&MAuburnIncarnate Word,In School,None,None,2018
Jayden Daniels,Arizona StateLSU,In School,None,2023 Heisman Trophy,2018
Max Duggan,TCU,2023 Rd. 7,Los Angeles Chargers,Davey O'Brien Award(2022)Johnny Unitas Golden Arm Award(2022)Big 12Offensive Player of the Year (2022)Second-teamAll-American(2022)First-team All-Big 12 (2022),2018
Ty Evans,NC StateTexas State,In School,None,None,2018
Grant Gunnell,ArizonaMemphisNorth TexasSam Houston,In School,None,USA Today All-American (2018),2018
Ryan Hilinski,South CarolinaNorthwestern,In School,None,None,2018
Sam Howell,North Carolina,2022 Rd. 5,Washington Commanders,Second-team All-ACC (2020)Third-team All-ACC (2019)ACC Rookie of the Year (2019)USA Today Freshman All-American (2019)Military Bowl MVP (2019),2018
D'Wan Mathis,GeorgiaTemple,In School,None,None,2018
Brian Maurer,TennesseeStephen F. Austin,In School,None,None,2018
Cade McNamara,MichiganIowa,In School,None,Third-team All-Big Ten (2021),2018
Graham Mertz,WisconsinFlorida,In School,None,None,2018
Dylan Morris,Washington,In School,None,None,2018
Bo Nix,AuburnOregon,In School,None,Alabama Mr. Football (2018)USA Today All-American (2018)SEC Freshman of the Year (2019),2018
Spencer Rattler,OklahomaSouth Carolina,In School,None,"Elite 11 MVP2x Big 12 Champion (2019, 2020)Big 12 Championship MVP (2020)First-team All-Big 12 (2020)",2018
Taulia Tagovailoa,AlabamaMaryland,In School,None,None,2018
Paul Tyson,AlabamaArizona StateClemson,In School,None,2021 CFP National Champion,2018
Harrison Bailey,TennesseeUNLVLouisville,In School,None,None,2019
Carson Beck,Georgia,In School,None,None,2019
Hudson Card,TexasPurdue,In School,None,None,2019
Jacolby Criswell,North CarolinaArkansas,In School,None,2019–20 Arkansas Gatorade Player of the Year,2019
Hunter Dekkers,Iowa State,In School,None,2019–20 Iowa Gatorade Player of the Year,2019
Luke Doty,South Carolina,In School,None,South Carolina's Mr. Football (2019),2019
Tyler Van Dyke,Miami (FL),In School,None,None,2019
T. J. Finley,LSUAuburnTexas State,In School,None,None,2019
Ethan Garbers,WashingtonUCLA,In School,None,None,2019
Haynes King,Texas A&MGeorgia Tech,In School,None,None,2019
Chandler Morris,OklahomaTCU,In School,None,None,2019
Sol-Jay Maiava,BYU,In School,None,None,2019
Drew Pyne,Notre DameArizona State,In School,None,None,2019
Jeff Sims,Georgia TechNebraska,In School,None,None,2019
C. J. Stroud,Ohio State,2023 Rd. 1,Houston Texans,Elite 11 MVP2021 Heisman Trophy Finalist,2019
Bryce Young,Alabama,2023 Rd. 1,Carolina Panthers,2019–20 California Gatorade Player of the Year2021 CFP National ChampionUSA Today Offensive Player of the Year (2019)USA Today High School All-American(2019)2021 Heisman Trophy Winner,2019
Tyler Buchner,Notre DameAlabama,In School,None,None,2020
Kyron Drones,BaylorVirginia Tech,In School,None,None,2020
Tyler Macon,MissouriAlcorn State,In School,None,None,2020
Drake Maye,North Carolina,In School,None,None,2020
J. J. McCarthy,Michigan,In School,None,2023 Heisman Trophy Finalist,2020
Kyle McCord,Ohio State,In School,None,None,2020
Miller Moss,USC,In School,None,None,2020
Garrett Nussmeier,LSU,In School,None,None,2020
Kaidon Salter,TennesseeLiberty,In School,None,None,2020
Ty Thompson,Oregon,In School,None,None,2020
Brock Vandagriff,Georgia,In School,None,None,2020
Caleb Williams,OklahomaUSC,In School,None,Elite 11 MVPSecond team All-Big 12 (2021)USA Today High School All-American (2019)2022 Heisman Trophy Winner,2020
Drew Allar,Penn State,In School,None,None,2021
Devin Brown,Ohio State,In School,None,None,2021
Nick Evers,OklahomaWisconsin,In School,None,None,2021
Quinn Ewers,Ohio StateTexas,In School,None,None,2021
Katin Houser,Michigan State,In School,None,None,2021
Walker Howard,LSUOle Miss,In School,None,None,2021
Cade Klubnik,Clemson,In School,None,Elite 11 MVPU.S. Army Player of the Year Award(2021),2021
Maalik Murphy,Texas,In School,None,None,2021
Zach Pyron,Georgia Tech,In School,None,None,2021
Luther Richesson,Cincinnati,In School,None,None,2021
